finalResult,codeModule,moduleSession,Q1-ExternalQuiz,Q1-DataPlus,Q1-DualPlus,Q1-Folder,Q1-Forumng,Q1-Glossary,Q1-HomePage,Q1-HtmlActivity,Q1-OuCollaborate,Q1-OuContent,Q1-OuElluminate,Q1-OuWiki,Q1-PageClicks,Q1-Questionnaire,Q1-Quiz,Q1-RepeatActivity,Q1-Resource,Q1-SharedSubPage,Q1-SubPage,Q1-Url,Q2-ExternalQuiz,Q2-DataPlus,Q2-DualPlus,Q2-Folder,Q2-Forumng,Q2-Glossary,Q2-HomePage,Q2-HtmlActivity,Q2-OuCollaborate,Q2-OuContent,Q2-OuElluminate,Q2-OuWiki,Q2-PageClicks,Q2-Questionnaire,Q2-Quiz,Q2-RepeatActivity,Q2-Resource,Q2-SharedSubPage,Q2-SubPage,Q2-Url,Q3-ExternalQuiz,Q3-DataPlus,Q3-DualPlus,Q3-Folder,Q3-Forumng,Q3-Glossary,Q3-HomePage,Q3-HtmlActivity,Q3-OuCollaborate,Q3-OuContent,Q3-OuElluminate,Q3-OuWiki,Q3-PageClicks,Q3-Questionnaire,Q3-Quiz,Q3-RepeatActivity,Q3-Resource,Q3-SharedSubPage,Q3-SubPage,Q3-Url,Q4-ExternalQuiz,Q4-DataPlus,Q4-DualPlus,Q4-Folder,Q4-Forumng,Q4-Glossary,Q4-HomePage,Q4-HtmlActivity,Q4-OuCollaborate,Q4-OuContent,Q4-OuElluminate,Q4-OuWiki,Q4-PageClicks,Q4-Questionnaire,Q4-Quiz,Q4-RepeatActivity,Q4-Resource,Q4-SharedSubPage,Q4-SubPage,Q4-Url
Pass,3,1,0,0,0,0,52,0,120,0,0,21,4,4,5,0,0,0,87,0,72,50,0,0,6,0,20,0,57,0,0,45,10,3,0,0,0,0,17,0,0,0,0,0,4,0,41,4,59,0,0,38,0,0,0,0,0,0,11,0,39,12,0,0,2,0,1,0,21,0,0,0,0,0,0,0,0,0,9,0,18,0
Pass,5,0,0,0,0,0,66,0,84,0,7,155,0,7,2,0,2,0,9,0,77,1,0,0,0,0,31,0,41,0,0,229,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,47,0,0,168,0,0,0,0,883,0,3,0,46,15,0,0,0,0,0,0,26,0,0,221,0,0,0,0,0,0,3,0,20,0
Pass,6,0,0,0,0,0,16,0,5,0,0,4,0,0,0,0,0,0,35,0,2,0,0,0,0,0,24,4,72,0,0,118,0,0,0,0,59,0,19,0,0,0,0,0,0,0,26,0,58,0,0,99,0,0,0,0,48,0,9,0,1,0,0,0,0,0,0,0,16,0,0,19,0,0,0,0,33,0,4,0,0,0
Fail,1,1,0,0,0,0,1408,10,290,0,0,3,1,0,0,0,39,0,49,0,130,28,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,0,0,0,0,0,153,0,101,1,8,255,0,20,1,5,89,0,21,0,107,6,0,1,0,0,33,0,87,0,2,267,0,0,0,7,38,0,13,0,0,0,0,0,0,0,62,0,132,0,0,531,0,0,0,1,997,0,4,0,108,14,4,0,0,0,2,0,35,0,0,144,0,0,0,0,7,0,1,0,16,5
Pass,3,0,0,0,0,0,2,0,14,0,2,13,0,3,0,0,0,0,3,0,18,1,0,0,1,0,0,0,11,0,0,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,30,0,0,0,0,0,0,1,0,20,0,0,0,1,0,0,0,13,0,0,43,0,0,0,0,0,0,5,0,24,3
Pass,1,0,0,0,0,0,6,0,10,0,0,2,0,0,0,0,19,0,6,0,6,2,0,0,0,0,8,0,23,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,114,0,214,0,1,48,0,0,0,0,52,0,29,0,93,45,0,0,0,0,196,0,59,0,0,0,0,0,0,0,0,0,0,0,1,2
Fail,5,1,0,0,0,0,38,0,55,0,0,60,0,6,2,0,2,0,22,0,63,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,4,1,0,0,0,0,132,0,138,0,4,318,0,0,0,0,408,0,28,0,83,25,0,0,0,0,19,0,91,0,1,322,0,157,2,0,2,0,22,0,0,0,0,0,0,0,82,0,68,0,0,22,0,0,0,0,142,0,10,0,14,0,0,0,0,0,48,0,38,0,0,73,0,0,3,0,774,0,7,0,37,5
Pass,5,0,0,0,0,0,630,0,316,0,15,724,0,22,4,9,652,0,6,0,205,9,0,1,0,0,313,0,219,0,4,697,0,0,0,0,196,0,13,0,0,0,21,0,0,2,387,0,283,0,3,894,0,0,1,9,546,0,5,0,124,19,7,0,0,1,228,0,107,0,0,516,0,0,3,6,35,0,3,0,39,5
Fail,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,3,0,0,0,0,0,53,0,69,0,0,85,0,26,0,0,0,0,7,0,30,1,0,0,2,0,81,0,74,0,1,98,0,3,0,0,0,0,6,0,0,0,0,0,0,0,121,0,58,0,0,76,0,0,0,0,0,0,7,0,16,0,0,0,10,0,70,0,107,0,9,74,0,0,0,0,0,0,82,0,201,2
Pass,1,1,0,0,0,0,88,0,34,0,0,2,0,0,0,0,12,0,5,0,21,4,0,0,0,0,47,0,31,0,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,0,49,0,58,0,0,0,0,0,0,0,25,0,25,0,26,1,0,0,0,0,137,0,42,0,0,0,2,0,0,0,0,0,4,0,4,1
Fail,5,0,0,0,0,0,62,0,54,0,4,36,0,1,0,3,1,0,4,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,5,0,0,0,0,0,7,0,18,0,0,29,0,0,1,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,1,0,0,0,0,167,0,133,0,0,621,6,30,7,7,89,0,14,0,95,10,0,0,0,0,32,0,107,0,0,345,2,2,0,0,34,0,11,0,0,0,13,0,0,0,118,0,204,0,0,974,14,0,5,11,311,0,4,0,180,7,5,0,0,0,118,0,212,0,0,866,7,6,0,0,404,0,5,0,101,4
Pass,5,1,0,0,0,0,183,0,182,0,0,617,24,22,6,9,216,0,14,0,139,22,0,2,0,0,50,0,139,0,0,608,0,1,1,0,209,0,31,0,0,0,8,0,0,0,11,0,41,0,0,209,0,0,1,6,105,0,4,0,28,5,0,0,0,0,22,0,129,0,0,400,6,0,3,0,237,0,10,0,69,8
Fail,4,0,0,0,0,0,42,0,75,0,0,185,0,0,0,0,83,0,0,0,12,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,2,0,0,0,0,0,873,0,205,0,0,364,0,0,0,0,445,0,7,0,58,79,0,0,0,0,615,0,127,0,5,127,0,12,0,0,20,0,3,0,0,0,0,0,0,0,254,0,164,0,0,156,0,0,0,0,423,0,13,0,38,17,0,0,0,0,107,0,86,0,0,343,0,0,0,0,1,0,9,0,14,18
Pass,1,0,0,0,0,0,50,1,41,0,9,36,0,0,0,0,92,0,7,0,11,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,0,0,184,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,15,0,0,131,0,0,0,0,0,0,12,0,0,0
Pass,1,1,0,0,0,0,136,0,77,0,0,0,0,0,0,0,24,0,9,1,20,7,0,0,0,0,57,0,21,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,34,0,2,0,3,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,2,1
Fail,0,0,0,0,0,0,32,0,48,0,1,60,0,0,0,0,0,0,17,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,4,0,0,0,0,0,44,0,92,0,4,218,0,0,0,0,209,0,3,0,2,8,0,0,0,0,8,0,19,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,1,0,0,0,0,0,15,0,36,0,0,1,0,0,0,0,17,0,9,0,20,4,0,0,0,0,19,0,29,0,0,24,0,0,0,0,46,0,4,0,0,0,0,0,0,0,19,0,11,0,0,15,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,18,0,0,12,0,0,0,0,12,0,1,0,9,1
Pass,2,1,0,0,0,0,14,0,91,0,2,4,0,0,0,0,413,0,12,0,56,4,0,0,0,0,8,0,30,0,0,1,0,0,0,0,128,0,10,0,0,0,0,0,0,0,6,0,29,0,0,0,0,0,2,0,109,0,5,0,17,1,0,0,0,0,15,0,30,0,7,0,0,0,1,0,51,0,0,0,11,1
Pass,0,0,0,0,0,0,109,0,54,0,0,194,0,0,0,0,0,0,0,0,24,14,0,0,0,0,24,0,24,0,0,56,0,0,0,0,0,0,1,0,0,0,7,0,0,0,33,0,18,0,0,39,0,0,0,0,0,0,1,0,10,2,0,0,0,0,76,0,23,0,0,29,0,0,0,0,0,0,7,0,15,3
Pass,3,0,0,0,0,0,0,0,18,0,0,10,0,0,0,0,0,0,11,0,38,4,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,10,0,16,0,3,4,0,0,0,0,0,0,13,0,34,6,0,0,10,0,0,0,6,0,1,2,0,0,0,0,0,0,9,0,31,1
Fail,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,2,0,0,0,0,0,16,0,58,0,0,4,0,0,0,0,184,0,14,0,27,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,68,0,8,0,9,0,0,0,0,0,3,0,20,0,0,0,0,0,3,0,45,0,32,0,12,1
Pass,5,0,0,0,0,0,54,0,78,2,0,282,0,0,0,3,202,0,5,0,96,4,0,0,0,0,27,0,74,0,0,330,0,0,0,0,354,0,10,0,0,0,0,0,0,0,14,0,79,0,0,328,0,0,0,0,165,0,4,0,107,6,0,0,0,0,1,0,36,0,0,150,0,0,0,2,53,0,7,0,49,0
Fail,3,0,0,0,0,0,1,0,22,0,12,33,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,12,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,0,0,0,0,0,1951,0,583,0,2,455,0,19,1,9,630,0,35,0,194,19,0,0,0,0,1163,0,366,0,1,538,0,0,3,0,280,0,30,0,0,0,26,0,0,0,824,0,222,0,1,511,0,0,2,21,261,0,9,0,58,12,5,0,0,2,370,5,145,0,0,205,0,1,6,0,379,0,6,0,55,2
Fail,2,1,0,0,0,0,179,0,56,0,0,51,0,0,0,0,96,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,1,0,0,0,0,180,0,222,0,0,761,2,50,9,7,382,0,31,0,265,18,0,1,0,0,62,0,182,0,0,1242,1,1,7,0,72,0,13,0,0,0,0,0,0,0,56,0,122,0,0,457,0,0,0,1,303,0,4,0,91,17,0,0,0,0,14,0,108,0,0,874,0,10,3,7,271,0,10,0,65,4
Pass,5,0,0,0,0,0,49,0,122,0,0,379,0,27,1,9,433,0,7,0,94,6,0,0,0,0,52,0,153,0,0,496,0,0,6,0,76,0,13,0,0,0,0,0,0,0,2,0,129,0,1,520,0,0,2,0,82,0,4,0,67,15,0,0,0,3,25,0,58,0,0,152,0,0,0,0,164,0,0,0,25,0
Pass,1,0,0,0,0,0,131,0,65,0,0,1,0,0,0,0,14,0,16,0,11,3,0,0,0,0,118,0,70,0,0,0,0,0,0,0,24,0,15,0,0,0,0,0,0,0,34,0,34,0,0,11,0,0,0,0,13,0,1,0,2,1,0,0,0,0,71,0,50,0,0,0,0,0,0,0,13,0,26,0,9,0
Fail,1,0,0,0,0,0,63,0,63,0,4,81,0,0,0,0,61,0,22,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,2,0,0,0,0,0,84,0,94,2,2,113,0,3,3,3,279,0,22,0,103,5,0,0,0,0,0,0,25,0,0,105,0,0,0,0,84,0,7,0,0,0,0,0,0,0,3,0,50,0,0,129,0,0,0,0,50,0,11,0,43,4,0,0,0,0,2,0,39,0,0,340,0,9,1,4,469,0,9,0,47,1
Pass,6,0,0,0,0,0,66,0,17,0,0,13,0,0,0,0,0,0,5,0,3,0,0,0,0,0,32,0,21,0,0,85,0,0,0,0,36,0,0,0,0,0,0,0,0,0,18,0,18,0,0,60,0,0,0,0,31,0,2,0,1,0,0,0,0,0,0,0,12,0,0,21,0,0,0,0,18,0,4,0,3,0
Pass,3,1,0,0,0,0,238,0,256,0,3,212,0,26,0,0,930,0,88,0,115,5,0,0,1,0,185,0,177,0,0,164,0,28,0,0,11,0,17,0,0,0,0,0,0,0,215,0,218,0,10,184,0,0,0,0,260,0,8,0,113,22,0,0,21,0,20,0,53,0,2,3,0,0,0,0,0,0,1,0,26,1
Fail,0,0,0,0,0,0,55,1,43,0,1,103,0,0,0,0,0,0,4,0,31,3,0,0,0,0,5,0,13,0,0,50,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,2,0,0,0,0,0,0,0,34,0,0,93,0,0,0,0,42,0,8,0,16,5,0,0,0,0,2,0,35,0,1,59,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,1,0,0,0,0,200,0,137,0,3,277,0,22,5,0,82,0,6,0,112,7,0,0,0,0,43,0,47,0,0,409,0,1,1,0,0,0,10,0,0,0,0,0,0,0,24,0,60,0,2,180,0,0,4,12,0,0,1,0,21,8,0,0,0,2,3,0,122,0,0,494,0,0,0,0,529,0,1,0,62,1
Pass,1,1,0,0,0,0,144,0,53,0,0,5,3,0,0,0,25,0,7,0,34,18,0,0,0,0,47,0,57,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,6,0,42,0,0,0,0,0,0,0,36,0,1,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,5,0
Fail,1,0,0,0,0,0,0,0,28,0,0,46,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,4,0,0,0,0,0,28,0,139,0,2,122,0,6,0,0,180,0,12,0,31,22,0,0,0,0,87,0,23,0,0,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,0,51,0,7,43,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,31,0,0,36,0,1,0,0,0,0,2,0,10,9
Pass,3,1,0,0,0,0,143,3,148,0,0,36,4,35,0,0,0,0,15,0,35,16,0,0,3,0,73,4,158,0,0,12,4,35,0,0,0,0,39,0,0,0,0,0,2,0,60,2,78,0,0,13,0,0,0,0,0,0,4,0,37,15,0,0,0,0,22,0,21,0,0,0,0,0,0,0,0,0,10,0,11,0
Pass,2,0,0,0,0,0,4,0,115,0,0,139,0,0,0,0,534,0,2,0,24,4,0,0,0,0,2,0,131,0,0,94,0,0,0,0,290,0,19,0,0,0,0,0,0,0,0,0,72,0,0,82,0,0,0,0,294,0,20,0,28,3,0,0,0,0,0,0,91,0,0,28,0,0,3,0,259,0,36,0,34,6
Fail,5,0,0,0,0,0,399,0,162,0,1,219,0,17,0,3,202,0,7,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,0,0,0,4,0,0,520,1,286,0,0,693,0,0,0,0,0,0,1,0,78,46,3,0,0,0,343,0,172,0,0,520,0,0,0,0,0,0,0,0,0,0,3,0,0,0,252,0,148,0,0,472,0,0,0,0,0,0,1,0,49,29,1,0,0,0,339,0,82,0,0,133,0,0,0,0,0,0,3,0,12,2
Pass,3,0,0,0,0,0,17,20,57,0,0,61,0,0,0,0,0,0,43,0,27,0,0,0,0,0,0,0,49,0,0,26,0,0,0,0,0,0,38,0,0,0,0,0,0,0,4,51,39,0,1,32,0,0,0,0,0,0,21,0,23,1,0,0,6,0,8,3,23,0,0,0,0,0,0,0,0,0,17,0,29,0
Fail,5,1,0,0,0,0,203,0,172,0,0,378,16,25,8,12,175,0,12,0,145,14,0,3,0,0,53,0,71,0,0,254,2,0,0,0,94,0,16,0,0,0,0,0,0,0,7,0,13,0,0,79,2,0,0,0,94,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,1,0,0,0,0,186,0,282,0,19,1082,0,39,2,10,438,0,5,0,239,14,0,0,0,0,56,0,165,0,3,858,0,0,3,0,187,0,24,0,0,0,8,0,0,1,26,0,122,0,1,564,0,0,2,12,327,0,1,0,63,7,0,0,0,2,5,0,49,0,0,241,0,2,0,0,39,0,2,0,43,1
Fail,2,0,0,0,0,0,86,0,163,0,0,116,0,0,0,0,232,0,18,0,18,27,0,0,0,0,53,0,86,0,15,105,0,42,0,0,0,0,10,0,0,0,0,0,0,0,35,0,103,0,2,79,0,0,0,0,145,0,8,0,7,7,0,0,0,0,122,0,48,0,0,41,0,0,0,0,93,0,6,0,20,10
Pass,5,0,0,0,0,0,377,0,194,2,2,390,0,13,2,3,169,0,14,0,114,17,0,0,0,0,94,0,129,1,1,506,0,1,1,0,222,0,10,0,0,0,15,0,0,0,120,0,65,0,0,350,0,0,4,27,126,0,2,0,36,7,2,0,0,0,43,0,75,0,0,389,0,3,4,5,211,0,2,0,50,5
Pass,2,0,0,0,0,0,2,0,102,0,0,9,0,0,0,0,153,0,4216,0,35,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,95,0,79,0,14,0,0,0,0,0,0,0,44,0,0,83,0,0,0,0,109,0,133,0,34,0
Fail,3,1,0,0,0,0,308,0,288,0,0,104,0,165,0,0,0,0,45,0,102,45,0,0,5,0,99,0,117,0,0,29,0,115,0,0,0,0,15,0,0,0,0,0,11,0,79,0,92,0,0,66,0,0,0,0,0,0,4,0,43,14,0,0,2,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1
Fail,6,0,0,0,0,0,44,0,50,0,0,26,0,0,0,0,0,0,25,0,15,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,13,0,0,20,0,0,0,0,19,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,4,0,0,0,0,0,5,0,61,0,0,146,0,0,0,0,108,0,8,0,3,0,0,0,0,0,0,0,20,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,5,0,0,0,0,0,244,0,158,3,7,379,0,16,3,3,151,0,110,0,168,15,0,0,0,0,65,0,78,1,2,142,0,5,0,0,92,0,9,0,0,0,0,0,0,0,67,0,65,0,0,119,0,0,0,0,64,0,6,0,41,13,6,0,0,0,94,0,69,0,0,229,0,1,0,0,200,0,3,0,53,2
Pass,1,0,0,0,0,0,20,0,112,0,1,129,0,0,0,0,34,0,39,0,32,2,0,0,0,0,0,0,49,0,0,180,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,77,0,0,230,0,0,0,9,24,0,3,0,5,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0
Pass,1,0,0,0,0,0,422,0,158,0,0,0,0,0,0,0,20,0,1,0,15,5,0,0,0,0,175,0,181,0,0,2,0,0,0,0,43,0,1,0,0,0,0,0,0,0,95,0,177,0,0,25,0,0,0,0,27,0,6,0,33,9,0,0,0,0,145,0,128,0,0,0,0,0,0,0,0,0,18,0,24,1
